Land,Odds
Albanië,"290,2222222222"
Australië,"6,8944444444"
Azerbeidzjan,"26,5555555556"
Cyprus,"136,0555555556"
Denemarken,"109,7222222222"
Duitsland,"339,6666666667"
Estland,"241,8888888889"
Frankrijk,37
Griekenland,"139,9444444444"
IJsland,"20,5555555556"
Israël,"290,7777777778"
Italië,"19,1111111111"
Malta,"96,2777777778"
Nederland,"1,7538888889"
Noord-Macedonië,"160,2777777778"
Noorwegen,"26,2777777778"
Rusland,"27,0555555556"
San Marino,"319,6666666667"
Servië,"198,5555555556"
Slovenië,"226,0555555556"
Spanje,"126,6111111111"
Tsjechië,"170,5"
Verenigd Koninkrijk,"185,5"
Wit-Rusland,"260,7777777778"
Zweden,13
Zwitserland,"8,4166666667"
