Land,Albanië,Armenië,Australië,Azerbeidzjan,België,Bulgarije,Cyprus,Denemarken,Duitsland,Estland,Finland,Frankrijk,Georgië,Griekenland,Hongarije,Ierland,IJsland,Israël,Italië,Kroatië,Letland,Litouwen,Macedonië,Malta,Moldavië,Montenegro,Nederland,Noorwegen,Oekraïne,Oostenrijk,Polen,Portugal,Roemenië,Rusland,San Marino,Servië,Slovenië,Spanje,Tsjechië,Verenigd Koninkrijk,Wit-Rusland,Zweden,Zwitserland
Albanië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australië,,7,,,6,,,8,,,,,,,,,,,,,,,,,,,8,8,,8,,,,,,,,10,,,,10,
Bulgarije,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Cyprus,,3,10,,7,,,10,10,,,,,12,,12,,12,,,,,,,,,12,10,,10,10,,,,,,,12,,12,,8,8
Denemarken,,,12,,10,,,,12,,,,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,,,12,12
Duitsland,,10,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,7,5
Frankrijk,,,,,12,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Hongarije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ierland,,,,,,,12,6,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,10,,,4
Israël,,8,,,4,,,1,,,,,,,,10,,,,,,,,,,,,,12,,12,,,,,,,,,,,,
Italië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litouwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldavië,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
Nederland,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,
Noorwegen,,,,,3,,,2,,,12,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,6,
Oekraïne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oostenrijk,,5,,,1,,,3,,,,,,,,,,,,,,,,,,,6,12,,,,,,,,,,6,,,,,10
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsjechië,,,,,5,,,,8,,,,,,,,,,,,,,,,,,4,,,12,,,,,,,,5,,,,,6
Verenigd Koninkrijk,,4,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweden,,6,,,2,,,12,,,10,,,,,,,,,,,,,,,,10,7,,5,,,,,,,,8,,,,,
