Land,Albanië,Armenië,Australië,Azerbeidzjan,België,Cyprus,Denemarken,Duitsland,Estland,Finland,Frankrijk,Georgië,Griekenland,Hongarije,Ierland,IJsland,Israël,Italië,Kroatië,Letland,Litouwen,Malta,Moldavië,Montenegro,Nederland,Noord-Macedonië,Noorwegen,Oostenrijk,Polen,Portugal,Roemenië,Rusland,San Marino,Servië,Slovenië,Spanje,Tsjechië,Verenigd Koninkrijk,Wit-Rusland,Zweden,Zwitserland
Albanië,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australië,,,,,1,,,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,,,6,,,
Azerbeidzjan,,12,,,7,,8,8,,8,8,,10,,,,,12,,,,,,,8,,12,6,,,,8,,,,,,,,8,6
Cyprus,,,,,3,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Denemarken,,,,,,,,2,,,,,,,,,,,,,,,,,6,,,5,,,,,,,,,,1,,,5
Duitsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estland,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2
Frankrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Griekenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJsland,,,,,,,,4,,,,,,,,,,,,12,8,,,,,,,,,,,4,,,,,,,,,
Israël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italië,,,,,,,,6,,,5,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,7
Malta,,,,,6,,,1,,,,,,,,,,,,,,,,,3,,,4,,,,3,,,,,,3,,7,
Nederland,,,10,,12,,6,10,,10,12,,,,8,,,,,,12,,,,,,10,7,,,,12,,,,,,8,10,12,8
Noord-Macedonië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noorwegen,,,12,,4,,7,5,,,10,,,,,,12,7,,,,,,,7,,,10,,,,10,,,,12,,12,,,12
Rusland,,,,,2,,10,,,,,,,,,,,,,,10,,,,,,6,,,,,,,,,,,2,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,
Servië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenië,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,,,,,4
Spanje,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsjechië,,,,,,,,,,,,,,,,,,,,,7,,,,4,,,,,,,,,,,,,4,,,
Verenigd Koninkrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wit-Rusland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweden,,,,,8,,12,7,,,6,,,,10,,,10,,,,,,,12,,7,8,,,,6,,,,,,7,,,10
Zwitserland,,,,,10,12,5,12,12,12,7,,,,12,,,8,,,,,,,10,,8,12,,,,7,,,,10,,10,12,,
