,Albanië,Armenië,Australië,Azerbeidzjan,België,Cyprus,Denemarken,Duitsland,Estland,Finland,Frankrijk,Georgië,Griekenland,Hongarije,Ierland,IJsland,Israël,Italië,Kroatië,Letland,Litouwen,Malta,Moldavië,Montenegro,Nederland,Noord-Macedonië,Noorwegen,Oostenrijk,Polen,Portugal,Roemenië,Rusland,San Marino,Servië,Slovenië,Spanje,Tsjechië,Verenigd Koninkrijk,Wit-Rusland,Zweden,Zwitserland
Albanië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australië,,,,,4,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,5,,,3
Azerbeidzjan,,12,7,,5,,6,5,,,12,,12,,7,,,,,,,,,,7,,12,5,,,,10,,,,10,,7,,8,7
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,
Denemarken,,,,,,,,,,,,,,,,,,,,,,,,,6,,5,4,,,,,,,,,,2,,4,2
Duitsland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estland,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
Frankrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Griekenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJsland,,,,,,,,,,,,,,,,,,,,12,8,,,,,,,,,,,,,,,,,,,,
Israël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italië,,,,,6,,,6,,,7,,,,,,,,,,,10,,,4,,7,7,,,,6,,,,,,,,3,6
Malta,,,,,,,4,,,,,,,,,,,,,,,,,,2,,4,,,,,,,,,6,,3,,1,
Nederland,,,8,,12,,8,10,,,10,,,,8,,12,,,,12,,,,,,8,8,12,,,12,,,,7,,6,,10,8
Noord-Macedonië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noorwegen,,,12,,7,,12,7,,,,,,,10,,,12,,,,,,,8,,,10,,,,8,,,,8,,12,,12,12
Rusland,,,,,3,,5,,12,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,1,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
Servië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovenië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Spanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsjechië,,,,,2,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,4
Verenigd Koninkrijk,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
Wit-Rusland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Zweden,,,6,,8,,10,8,,,6,,,,6,,,10,,,,,,,12,,6,6,,,,,,,,,,8,,,10
Zwitserland,,,5,12,10,,7,12,,12,8,,10,,12,,,8,,,,12,,,10,,10,12,,,,7,,,,12,12,10,,6,
