Land,Albanië,Australië,Azerbeidzjan,België,Bulgarije,Cyprus,Denemarken,Duitsland,Estland,Finland,Frankrijk,Georgië,Griekenland,Ierland,IJsland,Israël,Italië,Kroatië,Letland,Litouwen,Malta,Moldavië,Nederland,Noord-Macedonië,Noorwegen,Oekraïne,Oostenrijk,Polen,Portugal,Roemenië,Rusland,San Marino,Servië,Slovenië,Spanje,Tsjechië,Verenigd Koninkrijk,Zweden,Zwitserland
Albanië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbeidzjan,,,,7,,,,5,,12,,,10,,,,6,,,,,,5,,4,,,,,,12,,,,,12,2,,5
België,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,
Bulgarije,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,12,,,,,,,,,,,,12,,,,,,2,,,,10,,10,,
Duitsland,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
Finland,,,,4,,,5,6,,,,,,,,,,,,,,,6,,,,6,12,,,8,,,,3,,8,7,12
Frankrijk,,,,10,,,,1,,10,,,8,,,,,,,,,,10,,,,,,,,,,,,8,8,,,10
Griekenland,,,,,,,,,,,,,,,,,,,,,,,3,,,,,10,,,,,,,,,,,
IJsland,,,,,,,,3,,,,,,,,,,,,,,,1,,,,10,,,,,,,,,,12,8,
Israël,,,,,,,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,
Italië,,,,,,12,2,,12,,,,,,,,,,,,,,,,2,,,8,,,5,,,,,,,2,1
Litouwen,,,,8,,,7,7,,,,,,,,,7,,,,,,2,,7,,,,,,7,,,,6,,,,8
Malta,,,,6,,,4,8,,,,,,12,,,,,,,,,7,,8,,7,,,,4,,,,7,,7,12,6
Moldavië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nederland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noorwegen,,,,1,,,12,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,,4,5,
Oekraïne,,,,12,,,,12,,,,,7,,,,10,,,12,,,4,,6,,5,,,,10,,,,,10,5,6,4
Portugal,,,,2,,,8,2,,,10,,6,,,,12,,,,,,12,,5,,8,,,,,,,,4,,1,10,2
Rusland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
San Marino,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,3,,
Servië,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spanje,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verenigd Koninkrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zweden,,,,5,,,6,,,,,,,10,,,,,,,12,,,,10,,3,,,,3,,,,,,,,7
Zwitserland,,,,3,,,10,10,,8,12,,,,,,,,,,,,8,,3,,12,7,,,6,,,,12,,6,,
