Land,Streams,Halve_finale,Live
Litouwen,1187808,1,Ja
Rusland,7014361,1,Ja
Slovenië,192578,1,Ja
Zweden,530131,1,Ja
Australië,330895,1,Ja
Noord-Macedonië,236961,1,Ja
Ierland,277597,1,Ja
Cyprus,2646727,1,Ja
Noorwegen,650781,1,Ja
Kroatië,1524167,1,Ja
België,622175,1,Ja
Israël,1321842,1,Ja
Roemenië,574768,1,Ja
Azerbeidzjan,2853014,1,Ja
Oekraïne,4971325,1,Ja
Malta,1573688,1,Ja
Italië,1580549,1,Nee
Nederland,231203,1,Nee
Duitsland,316237,1,Nee
San Marino,46942,2,Ja
Estland,17415,2,Ja
Tsjechië,18828,2,Ja
Oostenrijk,16216,2,Ja
Griekenland,156520,2,Ja
Polen,121114,2,Ja
Moldavië,40752,2,Ja
IJsland,90396,2,Ja
Servië,474832,2,Ja
Georgië,14595,2,Ja
Albanië,86583,2,Ja
Portugal,71838,2,Ja
Bulgarije,33278,2,Ja
Finland,139086,2,Ja
Letland,32103,2,Ja
Zwitserland,112293,2,Ja
Denemarken,18600,2,Ja
Frankrijk,84900,2,Nee
Spanje,36792,2,Nee
Verenigd Koninkrijk,12736,2,Nee
